Nom;Latitude;Longitude
12203762607552;47,32788849;5,027524471
12232706184004;47,32545471;5,049873829
12244573053666;47,32226563;5,041778088
12246888509832;47,31703568;5,054167747
12248335737645;47,33154678;5,038210392
12249204007619;47,33387375;5,05987215
12261649751637;47,3134613;5,053880692
12289580263107;47,30067825;5,071414471
12290014424925;47,31848145;5,038164616
12290303860530;47,31848145;5,038164616
12292185222333;47,3299408;5,01994276
12292619336967;47,29912567;5,077018738
13-15 Boulevard de l'Université;47,3134613;5,053880692
48 AVENUE DU MONT BLANC PDL 1;47,29972839;5,075997353
48 AVENUE DU MONT BLANC PDL 2;47,29972839;5,075997353
50017740923794;47,32071304;5,003675938
50023809042521;47,31084824;5,019309521
50038280822579;47,33130264;5,029615402
6 BOULEVARD THIERS;47,32578659;5,046368122
Accueil PEriscolaire DEVOSGE;47,32719421;5,041840076
Accueil PEriscolaire MONTCHAPET;47,33117294;5,031758785
ALIMENTATION ARROSAGE QUAR JUNOT;47,33882523;5,047196865
ANNEXE 2 CENTRE SOCIAL DU PARC;47,3009758;5,04077673
APP N°2 GS CHAMPS PERDRIX;47,34094238;5,034850597
APP N3 GS DAMPIERRE;47,31820297;5,045307159
Appartement 23 QUAI GAUTHEY - 2ND ETAGE GAUCHE;47,31070709;5,028437138
Appartement 2nd Etage;47,32545471;5,049873829
APPARTEMENT 7 QUAI GAUTHEY - 2ND ETAGE;47,31158447;5,028020859
Appartement GS Victor HUGO maternelle;47,33201599;5,019469738
APPT 1 POTET 29;47,31865692;5,042525768
APPT 4 GS ALSACE;47,32171631;5,004117012
APPT AUXONNE 111 1ER;47,31248856;5,051292419
APPT AUXONNE 111 3EME;47,31248856;5,051292419
APPT CONC REMPLACANT POTET RDC;47,31865692;5,042525768
APPT D N2 GS CHEVREUL;47,30904388;5,038952827
APPT G N1 GS CHEVREUL;47,30904388;5,038952827
APPT N°2 RDC GS ANJOU;47,32350922;4,999192715
APPT N1 GS CHAMPS PERDRIX;47,32077789;5,001889706
APPT N1 GS LAMARTINE;47,3408165;5,055821419
APPT N1 GS MANSART CGT;47,30929565;5,061264515
APPT N1 RDC-GS ALSACE;47,32171631;5,004117012
APPT N2 GS CHAMPS PERDRIX RASED;47,32077789;5,001889706
APPT N2 GS MANSART Association;47,30929565;5,061264515
APPT N2 GS YORK RDC GARDERIE MAT;47,33387375;5,05987215
APPT N3 GS ALSACE;47,32148743;5,0051651
APPT N3 GS CHAMPS PERDRIX RASED;47,32077789;5,001889706
APPT N3 GS LAMARTINE;47,3408165;5,055821419
APPT N3 GS MANSART;47,30929565;5,061264515
APPT N3 GS VOLTAIRE;47,31343842;5,050703526
APPT VANNERIE 64 A RDC DROITE;47,32257843;5,045420647
APPT VANNERIE RDC GAUCHE;47,32257843;5,045420647
APT N4 GS LAMARTINE;47,3408165;5,055821419
Armoire illumination 10, Place de la LibEration;47,32117081;5,040883064
Armoire illuminations ¿ 10;47,32200623;5,038952827
Armoire illuminations ¿ 11;47,32304764;5,042970657
Armoire illuminations ¿ 12;47,31742477;5,043786526
Armoire illuminations ¿ 13;47,31499863;5,04641819
Armoire illuminations ¿ 14;47,3228302;5,04056263
Armoire illuminations ¿ 15;47,32262421;5,039130688
Armoire illuminations ¿ 16;47,3187561;5,040666103
Armoire illuminations ¿ 17;47,31814575;5,032777786
Armoire illuminations ¿ 18;47,32291412;5,035529613
Armoire illuminations ¿ 20;47,31954956;5,039392471
Armoire illuminations ¿ 21;47,32332611;5,03612566
Armoire illuminations ¿ 22;47,32228851;5,037409306
Armoire illuminations ¿ 23;47,32328796;5,037227154
Armoire illuminations ¿ 24;47,3232193;5,031406403
Armoire illuminations ¿ 25;47,32172775;5,038825035
Armoire illuminations ¿ 4;47,32156754;5,048120499
Armoire illuminations ¿ 5;47,32565308;5,045050144
Armoire illuminations ¿ 6;47,3177681;5,034799576
Armoire illuminations ¿ 7;47,32601547;5,043756485
Armoire illuminations ¿ 9;47,31907654;5,037586212
ATELIERS ASSAINISSEMENT MAYENCE;47,34733582;5,062654972
ATELIERS BATIMENTS COMMUNAUX;47,34716797;5,062953472
